medal_date,medal_type,medal_code,name,gender,country,country_code,nationality,team,team_gender,discipline,event,event_type,url_event,birth_date,code
2024-08-10,Bronze Medal,3,KIPRUTO Benson,Male,Kenya,KEN,Kenya,,,Athletics,Men's Marathon,ATH,/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--,1991-03-17,1910555
2024-08-10,Gold Medal,1,RUSSELL Masai,Female,United States,USA,United States,,,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,2000-06-17,1960169
2024-08-10,Silver Medal,2,SAMBA-MAYELA Cyrena,Female,France,FRA,France,,,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,2000-10-31,1911932
2024-08-10,Bronze Medal,3,CAMACHO-QUINN Jasmine,Female,Puerto Rico,PUR,United States,,,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,1996-08-21,1537183
2024-08-10,Gold Medal,1,KIPYEGON Faith,Female,Kenya,KEN,Kenya,,,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1994-01-10,1910451
2024-08-10,Silver Medal,2,HULL Jessica,Female,Australia,AUS,Australia,,,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1996-10-22,1939795
2024-08-10,Bronze Medal,3,BELL Georgia,Female,Great Britain,GBR,Great Britain,,,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1993-10-17,1956840
2024-08-10,Gold Medal,1,KITAGUCHI Haruka,Female,Japan,JPN,Japan,,,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1998-03-16,1919914
2024-08-10,Silver Medal,2,van DYK Jo-Ane,Female,South Africa,RSA,South Africa,,,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1997-10-03,1981085
2024-08-10,Bronze Medal,3,OGRODNIKOVA Nikola,Female,Czechia,CZE,,,,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1990-08-18,1892137
2024-08-10,Gold Medal,1,JALOLOV Bakhodir,Male,Uzbekistan,UZB,Uzbekistan,,,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--,1994-07-08,1556869
2024-08-10,Silver Medal,2,GHADFA DRISSI EL AISSAOUI Ayoub,Male,Spain,ESP,Spain,,,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--,1998-12-06,1934775
2024-08-10,Gold Medal,1,KHALOKOV Abdumalik,Male,Uzbekistan,UZB,Uzbekistan,,,Boxing,Men's 57kg,HATH,/en/paris-2024/results/boxing/men-s-57kg/fnl-000100--,2000-04-09,1556049
2024-08-10,Silver Medal,2,SEIITBEK UULU Munarbek,Male,Kyrgyzstan,KGZ,Kyrgyzstan,,,Boxing,Men's 57kg,HATH,/en/paris-2024/results/boxing/men-s-57kg/fnl-000100--,1996-01-01,1878687
2024-08-10,Gold Medal,1,LIN Yu Ting,Female,Chinese Taipei,TPE,Chinese Taipei,,,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--,1995-12-13,1887963
2024-08-10,Silver Medal,2,SZEREMETA Julia,Female,Poland,POL,Poland,,,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--,2003-08-24,1568655
2024-08-10,Gold Medal,1,LI Qian,Female,China,CHN,China,,,Boxing,Women's 75kg,HATH,/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--,1990-06-06,1926826
2024-08-10,Silver Medal,2,BYLON Atheyna Bibeichi,Female,Panama,PAN,Panama,,,Boxing,Women's 75kg,HATH,/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--,1989-04-06,1965679
2024-08-10,Gold Medal,1,PHIL WIZARD,Male,Canada,CAN,Canada,,,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000100--,1997-01-25,1958888
2024-08-10,Silver Medal,2,DANY DANN,Male,France,FRA,France,,,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000100--,1988-05-03,1880191
2024-08-10,Bronze Medal,3,VICTOR,Male,United States,USA,United States,,,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000200--,1994-05-01,1955590
2024-08-10,Gold Medal,1,DOSTAL Josef,Male,Czechia,CZE,Czechia,,,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------,1993-03-03,1878715
2024-08-10,Silver Medal,2,VARGA Adam,Male,Hungary,HUN,Hungary,,,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------,1999-11-20,1570863
2024-08-10,Bronze Medal,3,KOPASZ Balint,Male,Hungary,HUN,Hungary,,,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------,1997-06-20,1569972
2024-08-10,Gold Medal,1,VINCENT Katie,Female,Canada,CAN,Canada,,,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------,1996-03-12,1964547
2024-08-10,Silver Medal,2,HARRISON Nevin,Female,United States,USA,United States,,,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------,2002-06-02,1955126
2024-08-10,Bronze Medal,3,CIRILO DUBOYS Yarisleidis,Female,Cuba,CUB,Cuba,,,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------,2002-05-10,1564506
2024-08-10,Gold Medal,1,CARRINGTON Lisa,Female,New Zealand,NZL,New Zealand,,,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------,1989-06-23,1945383
2024-08-10,Silver Medal,2,CSIPES Tamara,Female,Hungary,HUN,Hungary,,,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------,1989-08-24,1568350
2024-08-10,Bronze Medal,3,JORGENSEN Emma Aastrand,Female,Denmark,DEN,Denmark,,,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------,1996-01-30,1892423
2024-08-10,Gold Medal,1,CAO Yuan,Male,China,CHN,China,,,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--,1995-02-07,1901556
2024-08-10,Silver Medal,2,TAMAI Rikuto,Male,Japan,JPN,Japan,,,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--,2006-09-11,1891685
2024-08-10,Bronze Medal,3,WILLIAMS Noah,Male,Great Britain,GBR,Great Britain,,,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--,2000-05-15,1900857
2024-08-10,Gold Medal,1,KO Lydia,Female,New Zealand,NZL,New Zealand,,,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------,1997-04-24,1939553
2024-08-10,Silver Medal,2,HENSELEIT Esther,Female,Germany,GER,Germany,,,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------,1999-01-14,1892506
2024-08-10,Bronze Medal,3,LIN Xiyu Janet,Female,China,CHN,China,,,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------,1996-02-25,1913218
2024-08-10,Gold Medal,1,ELGENDY Ahmed,Male,Egypt,EGY,Egypt,,,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--,2000-03-01,1932649
2024-08-10,Silver Medal,2,SATO Taishu,Male,Japan,JPN,Japan,,,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--,1993-10-20,1887939
2024-08-10,Bronze Medal,3,MALAN Giorgio,Male,Italy,ITA,Italy,,,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--,2000-01-27,1553031
2024-08-10,Gold Medal,1,GARNBRET Janja,Female,Slovenia,SLO,Slovenia,,,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--,1999-03-12,1981131
2024-08-10,Silver Medal,2,RABOUTOU Brooke,Female,United States,USA,United States,,,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--,2001-04-09,1950307
2024-08-10,Bronze Medal,3,PILZ Jessica,Female,Austria,AUT,Austria,,,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--,1996-11-22,1560673
2024-08-10,Gold Medal,1,SALIMI Arian,Male,IR Iran,IRI,IR Iran,,,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/fnl-000100--,2003-12-16,1536045
2024-08-10,Silver Medal,2,CUNNINGHAM Caden,Male,Great Britain,GBR,Great Britain,,,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/fnl-000100--,2003-05-07,1896149
2024-08-10,Bronze Medal,3,ALBA Rafael,Male,Cuba,CUB,Cuba,,,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/repf000100--,1993-08-12,1897088
2024-08-10,Bronze Medal,3,CISSE Cheick Sallah,Male,Côte d'Ivoire,CIV,Côte d'Ivoire,,,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/repf000200--,1993-09-19,1548401
2024-08-10,Gold Medal,1,LAURIN Althea,Female,France,FRA,France,,,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--,2001-09-01,1893272
2024-08-10,Silver Medal,2,OSIPOVA Svetlana,Female,Uzbekistan,UZB,Uzbekistan,,,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--,2000-05-03,1887768
2024-08-10,Bronze Medal,3,LEE Dabin,Female,Korea,KOR,Korea,,,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/repf000100--,1996-12-07,1904039
2024-08-10,Bronze Medal,3,KUS AYDIN Nafia,Female,Türkiye,TUR,Türkiye,,,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/repf000200--,1995-02-20,1566738
2024-08-10,Gold Medal,1,TALAKHADZE Lasha,Male,Georgia,GEO,Georgia,,,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1993-10-02,1551443
2024-08-10,Silver Medal,2,LALAYAN Varazdat,Male,Armenia,ARM,Armenia,,,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1999-05-01,1544424
2024-08-10,Bronze Medal,3,MINASYAN Gor,Male,Bahrain,BRN,Bahrain,,,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1994-10-25,1540334
2024-08-10,Gold Medal,1,LIU Huanhua,Male,China,CHN,China,,,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,2001-08-20,1918369
2024-08-10,Silver Medal,2,DJURAEV Akbar,Male,Uzbekistan,UZB,Uzbekistan,,,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1999-10-08,1551307
2024-08-10,Bronze Medal,3,TSIKHANTSOU Yauheni,Male,AIN,AIN,Belarus,,,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1998-11-04,1569832
2024-08-10,Gold Medal,1,KOANDA Solfrid Eila Amena,Female,Norway,NOR,Norway,,,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1998-11-13,1878625
2024-08-10,Silver Medal,2,AHMED Sara,Female,Egypt,EGY,Egypt,,,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1998-01-01,1563010
2024-08-10,Bronze Medal,3,DAJOMES BARRERA Neisi Patricia,Female,Ecuador,ECU,Ecuador,,,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1998-05-12,1940308
2024-08-10,Gold Medal,1,PETRIASHVILI Geno,Male,Georgia,GEO,Georgia,,,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--,1994-04-01,1554885
2024-08-10,Silver Medal,2,ZARE Amir Hossein,Male,IR Iran,IRI,IR Iran,,,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--,2001-01-16,1543088
2024-08-10,Bronze Medal,3,AKGUL Taha,Male,Türkiye,TUR,Türkiye,,,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/repf000100--,1990-11-22,1570546
2024-08-10,Bronze Medal,3,MESHVILDISHVILI Giorgi,Male,Azerbaijan,AZE,Azerbaijan,,,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/repf000200--,1992-05-13,1947172
2024-08-10,Gold Medal,1,JAMALOV Razambek Salambekovitch,Male,Uzbekistan,UZB,Uzbekistan,,,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/fnl-000100--,1998-06-01,1562164
2024-08-10,Silver Medal,2,TAKATANI Daichi,Male,Japan,JPN,Japan,,,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/fnl-000100--,1994-11-22,1939708
2024-08-10,Bronze Medal,3,DAKE Kyle Douglas,Male,United States,USA,United States,,,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/repf000100--,1991-02-25,1955345
2024-08-10,Bronze Medal,3,VALIEV Chermen,Male,Albania,ALB,Albania,,,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/repf000200--,1998-12-10,3429662
2024-08-10,Gold Medal,1,MOTOKI Sakura,Female,Japan,JPN,Japan,,,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--,2002-02-20,1939702
2024-08-10,Silver Medal,2,KOLIADENKO Iryna,Female,Ukraine,UKR,Ukraine,,,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--,1998-08-28,1897022
2024-08-10,Bronze Medal,3,TYNYBEKOVA Aisuluu,Female,Kyrgyzstan,KGZ,Kyrgyzstan,,,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000100--,1993-05-04,1902786
2024-08-10,Bronze Medal,3,BULLEN Grace Jacob,Female,Norway,NOR,Norway,,,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000200--,1997-02-07,1878635
2024-08-11,Gold Medal,1,HASSAN Sifan,Female,Netherlands,NED,Netherlands,,,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--,1993-01-01,1972105
2024-08-11,Silver Medal,2,ASSEFA Tigst,Female,Ethiopia,ETH,Ethiopia,,,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--,1996-12-03,1901487
2024-08-11,Bronze Medal,3,OBIRI Hellen,Female,Kenya,KEN,Kenya,,,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--,1989-12-13,1932851
2024-08-11,Gold Medal,1,LAVREYSEN Harrie,Male,Netherlands,NED,Netherlands,,,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------,1997-03-14,1969182
2024-08-11,Silver Medal,2,RICHARDSON Matthew,Male,Australia,AUS,Australia,,,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------,1999-04-17,1940263
2024-08-11,Bronze Medal,3,GLAETZER Matthew,Male,Australia,AUS,Australia,,,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------,1992-08-24,1940262
2024-08-11,Gold Medal,1,VALENTE Jennifer,Female,United States,USA,United States,,,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--,1994-12-24,1955106
2024-08-11,Silver Medal,2,PIKULIK Daria,Female,Poland,POL,Poland,,,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--,1997-01-06,1572953
2024-08-11,Bronze Medal,3,WOLLASTON Ally,Female,New Zealand,NZL,New Zealand,,,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--,2001-01-04,1945080
2024-08-11,Gold Medal,1,ANDREWS Ellesse,Female,New Zealand,NZL,New Zealand,,,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------,1999-12-31,1945040
2024-08-11,Silver Medal,2,FRIEDRICH Lea,Female,Germany,GER,Germany,,,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------,2000-01-07,1889704
2024-08-11,Bronze Medal,3,FINUCANE Emma,Female,Great Britain,GBR,Great Britain,,,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------,2002-12-22,1912522
2024-08-11,Gold Medal,1,GULYAS Michelle,Female,Hungary,HUN,Hungary,,,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--,2000-10-24,1936619
2024-08-11,Silver Medal,2,CLOUVEL Elodie,Female,France,FRA,France,,,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--,1989-01-14,1545116
2024-08-11,Bronze Medal,3,SEONG Seungmin,Female,Korea,KOR,Korea,,,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--,2003-05-13,1786902
2024-08-11,Gold Medal,1,LI Wenwen,Female,China,CHN,China,,,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--,2000-03-05,1918376
2024-08-11,Silver Medal,2,PARK Hyejeong,Female,Korea,KOR,Korea,,,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--,2003-03-12,1894414
2024-08-11,Bronze Medal,3,CAMPBELL Emily,Female,Great Britain,GBR,Great Britain,,,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--,1994-05-06,1544179
2024-08-11,Gold Medal,1,KIYOOKA Kotaro,Male,Japan,JPN,Japan,,,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/fnl-000100--,2001-04-12,1939700
2024-08-11,Silver Medal,2,AMOUZADKHALILI Rahman,Male,IR Iran,IRI,IR Iran,,,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/fnl-000100--,2002-07-17,1544830
2024-08-11,Bronze Medal,3,RIVERA Sebastian C,Male,Puerto Rico,PUR,United States,,,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/repf000100--,1998-08-27,1537188
2024-08-11,Bronze Medal,3,DUDAEV Islam,Male,Albania,ALB,Albania,,,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/repf000200--,1995-01-15,1559387
2024-08-11,Gold Medal,1,TAZHUDINOV Akhmed,Male,Bahrain,BRN,Bahrain,,,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--,2003-01-25,1540305
2024-08-11,Silver Medal,2,MATCHARASHVILI Givi,Male,Georgia,GEO,Georgia,,,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--,1997-05-17,1552495
2024-08-11,Bronze Medal,3,MAGOMEDOV Magomedkhan,Male,Azerbaijan,AZE,Azerbaijan,,,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000100--,1998-01-27,1981785
2024-08-11,Bronze Medal,3,AZARPIRA Amirali,Male,IR Iran,IRI,IR Iran,,,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000200--,2002-03-26,1543095
2024-08-11,Gold Medal,1,KAGAMI Yuka,Female,Japan,JPN,Japan,,,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/fnl-000100--,2001-09-14,1939701
2024-08-11,Silver Medal,2,BLADES Kennedy Alexis,Female,United States,USA,United States,,,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/fnl-000100--,2003-09-04,1955344
2024-08-11,Bronze Medal,3,MARIN POTRILLE Milaimy de la Carid,Female,Cuba,CUB,Cuba,,,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000100--,2001-03-16,1571936
2024-08-11,Bronze Medal,3,RENTERIA RENTERIA Tatiana,Female,Colombia,COL,Colombia,,,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000200--,2000-12-22,1535513
2024-07-27,Gold Medal,1,CHANG Yani,Female,China,CHN,China,People's Republic of China,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,2001-12-07,1901539
2024-07-27,Gold Medal,1,CHEN Yiwen,Female,China,CHN,China,People's Republic of China,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,1999-06-15,1901538
2024-07-27,Silver Medal,2,BACON Sarah,Female,United States,USA,United States,United States of America,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,1996-09-20,1954159
2024-07-27,Silver Medal,2,COOK Kassidy,Female,United States,USA,United States,United States of America,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,1995-05-09,1954168
2024-07-27,Bronze Medal,3,HARPER Yasmin,Female,Great Britain,GBR,Great Britain,Great Britain,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,2000-07-28,1900841
2024-07-27,Bronze Medal,3,MEW JENSEN Scarlett,Female,Great Britain,GBR,Great Britain,Great Britain,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,2001-12-31,1973355
2024-07-27,Gold Medal,1,PASQUET Varian,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1999-07-29,1879682
2024-07-27,Gold Medal,1,TIMO Andy,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2004-05-28,1879687
2024-07-27,Gold Medal,1,REBBADJ Rayan,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1999-08-15,1879683
2024-07-27,Gold Medal,1,FORNER Theo,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2001-10-17,1879671
2024-07-27,Gold Medal,1,PAREZ EDO MARTIN Stephen,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1994-08-01,1879681
2024-07-27,Gold Medal,1,RIVA Paulin,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1994-04-20,1879684
2024-07-27,Gold Medal,1,JOSEPH Jefferson-Lee,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2002-08-29,1879675
2024-07-27,Gold Medal,1,ZEGHDAR Antoine,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1999-05-22,1879692
2024-07-27,Gold Medal,1,GRANDIDIER NKANANG Aaron,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2000-05-18,1879672
2024-07-27,Gold Medal,1,BARRAQUE Jean Pascal,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1991-04-24,1879661
2024-07-27,Gold Medal,1,DUPONT Antoine,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1996-11-15,1879669
2024-07-27,Gold Medal,1,SEPHO Jordan,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1998-12-08,1879685
2024-07-27,Gold Medal,1,EPEE Nelson,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2001-02-20,1879670
2024-07-27,Silver Medal,2,NASOVA Joji,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2000-06-09,1908897
2024-07-27,Silver Medal,2,TALACOLO Joseva,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1997-04-01,1908838
2024-07-27,Silver Medal,2,MATANA Jeremaia,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1998-07-14,1913346
2024-07-27,Silver Medal,2,MOCENACAGI Sevuloni,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1990-06-29,1977633
