formula,categoria,descripcion,url,sintaxis,nombreFormula,idioma
DDB,Financial,Returns the depreciation of an asset for a specified period by using the double-declining balance method or some other method that you specify,https://support.microsoft.com/en-us/office/ddb-function-519a7a37-8772-4c96-85c0-ed2c209717a5,"DDB(cost, salvage, life, period, [factor])",DDB,en-us
DEC2BIN,Engineering,Converts a decimal number to binary,https://support.microsoft.com/en-us/office/dec2bin-function-0f63dd0e-5d1a-42d8-b511-5bf5c6d43838,"DEC2BIN(number, [places])",DEC2BIN,en-us
DEC2HEX,Engineering,Converts a decimal number to hexadecimal,https://support.microsoft.com/en-us/office/dec2hex-function-6344ee8b-b6b5-4c6a-a672-f64666704619,"DEC2HEX(number, [places])",DEC2HEX,en-us
DEC2OCT,Engineering,Converts a decimal number to octal,https://support.microsoft.com/en-us/office/dec2oct-function-c9d835ca-20b7-40c4-8a9e-d3be351ce00f,"DEC2OCT(number, [places])",DEC2OCT,en-us
DECIMAL,Math and trigonometry,Converts a text representation of a number in a given base into a decimal number,https://support.microsoft.com/en-us/office/decimal-function-ee554665-6176-46ef-82de-0a283658da2e,"DECIMAL(text, radix)",DECIMAL,en-us
DEGREES,Math and trigonometry,Converts radians to degrees,https://support.microsoft.com/en-us/office/degrees-function-4d6ec4db-e694-4b94-ace0-1cc3f61f9ba1,DEGREES(angle),DEGREES,en-us
DELTA,Engineering,Tests whether two values are equal,https://support.microsoft.com/en-us/office/delta-function-2f763672-c959-4e07-ac33-fe03220ba432,"DELTA(number1, [number2])",DELTA,en-us
DEVSQ,Statistical,Returns the sum of squares of deviations,https://support.microsoft.com/en-us/office/devsq-function-8b739616-8376-4df5-8bd0-cfe0a6caf444,"DEVSQ(number1, [number2], ...)",DEVSQ,en-us
DGET,Database,Extracts from a database a single record that matches the specified criteria,https://support.microsoft.com/en-us/office/dget-function-455568bf-4eef-45f7-90f0-ec250d00892e,"DGET(database, field, criteria)",DGET,en-us
DISC,Financial,Returns the discount rate for a security,https://support.microsoft.com/en-us/office/disc-function-71fce9f3-3f05-4acf-a5a3-eac6ef4daa53,"DISC(settlement, maturity, pr, redemption, [basis])",DISC,en-us
DMAX,Database,Returns the maximum value from selected database entries,https://support.microsoft.com/en-us/office/dmax-function-f4e8209d-8958-4c3d-a1ee-6351665d41c2,"DMAX(database, field, criteria)",DMAX,en-us
DMIN,Database,Returns the minimum value from selected database entries,https://support.microsoft.com/en-us/office/dmin-function-4ae6f1d9-1f26-40f1-a783-6dc3680192a3,"DMIN(database, field, criteria)",DMIN,en-us
DOLLAR,Text,"Converts a number to text, using the $ (dollar) currency format",https://support.microsoft.com/en-us/office/dollar-function-a6cd05d9-9740-4ad3-a469-8109d18ff611,"DOLLAR(number, [decimals])",DOLLAR,en-us
DOLLARDE,Financial,"Converts a dollar price, expressed as a fraction, into a dollar price, expressed as a decimal number",https://support.microsoft.com/en-us/office/dollarde-function-db85aab0-1677-428a-9dfd-a38476693427,"DOLLARDE(fractional_dollar, fraction)",DOLLARDE,en-us
DOLLARFR,Financial,"Converts a dollar price, expressed as a decimal number, into a dollar price, expressed as a fraction",https://support.microsoft.com/en-us/office/dollarfr-function-0835d163-3023-4a33-9824-3042c5d4f495,"DOLLARFR(decimal_dollar, fraction)",DOLLARFR,en-us
DPRODUCT,Database,Multiplies the values in a particular field of records that match the criteria in a database,https://support.microsoft.com/en-us/office/dproduct-function-4f96b13e-d49c-47a7-b769-22f6d017cb31,"DPRODUCT(database, field, criteria)",DPRODUCT,en-us
DROP,Lookup and reference,Excludes a specified number of rows or columns from the start or end of an array,https://support.microsoft.com/en-us/office/drop-function-1cb4e151-9e17-4838-abe5-9ba48d8c6a34,"=DROP(array, rows,[columns])",DROP,en-us
DSTDEV,Database,Estimates the standard deviation based on a sample of selected database entries,https://support.microsoft.com/en-us/office/dstdev-function-026b8c73-616d-4b5e-b072-241871c4ab96,"DSTDEV(database, field, criteria)",DSTDEV,en-us
DSTDEVP,Database,Calculates the standard deviation based on the entire population of selected database entries,https://support.microsoft.com/en-us/office/dstdevp-function-04b78995-da03-4813-bbd9-d74fd0f5d94b,"DSTDEVP(database, field, criteria)",DSTDEVP,en-us
DSUM,Database,Adds the numbers in the field column of records in the database that match the criteria,https://support.microsoft.com/en-us/office/dsum-function-53181285-0c4b-4f5a-aaa3-529a322be41b,"DSUM(database, field, criteria)",DSUM,en-us
DURATION,Financial,Returns the annual duration of a security with periodic interest payments,https://support.microsoft.com/en-us/office/duration-function-b254ea57-eadc-4602-a86a-c8e369334038,"DURATION(settlement, maturity, coupon, yld, frequency, [basis])",DURATION,en-us
DVAR,Database,Estimates variance based on a sample from selected database entries,https://support.microsoft.com/en-us/office/dvar-function-d6747ca9-99c7-48bb-996e-9d7af00f3ed1,"DVAR(database, field, criteria)",DVAR,en-us
DVARP,Database,Calculates variance based on the entire population of selected database entries,https://support.microsoft.com/en-us/office/dvarp-function-eb0ba387-9cb7-45c8-81e9-0394912502fc,"DVARP(database, field, criteria)",DVARP,en-us
EDATE,Date and time,Returns the serial number of the date that is the indicated number of months before or after the start date,https://support.microsoft.com/en-us/office/edate-function-3c920eb2-6e66-44e7-a1f5-753ae47ee4f5,"EDATE(start_date, months)",EDATE,en-us
EFFECT,Financial,Returns the effective annual interest rate,https://support.microsoft.com/en-us/office/effect-function-910d4e4c-79e2-4009-95e6-507e04f11bc4,"EFFECT(nominal_rate, npery)",EFFECT,en-us
ENCODEURL,Web,Returns a URL-encoded string,https://support.microsoft.com/en-us/office/encodeurl-function-07c7fb90-7c60-4bff-8687-fac50fe33d0e,=ENCODEURL(),ENCODEURL,en-us
EOMONTH,Date and time,Returns the serial number of the last day of the month before or after a specified number of months,https://support.microsoft.com/en-us/office/eomonth-function-7314ffa1-2bc9-4005-9d66-f49db127d628,"EOMONTH(start_date, months)",EOMONTH,en-us
ERF,Engineering,Returns the error function,https://support.microsoft.com/en-us/office/erf-function-c53c7e7b-5482-4b6c-883e-56df3c9af349,"ERF(lower_limit,[upper_limit])",ERF,en-us
ERF.PRECISE,Engineering,Returns the error function,https://support.microsoft.com/en-us/office/erf-precise-function-9a349593-705c-4278-9a98-e4122831a8e0,ERF.PRECISE(x),ERF.PRECISE,en-us
ERFC,Engineering,Returns the complementary error function,https://support.microsoft.com/en-us/office/erfc-function-736e0318-70ba-4e8b-8d08-461fe68b71b3,ERFC(x),ERFC,en-us
ERFC.PRECISE,Engineering,Returns the complementary ERF function integrated between x and infinity,https://support.microsoft.com/en-us/office/erfc-precise-function-e90e6bab-f45e-45df-b2ac-cd2eb4d4a273,ERFC.PRECISE(x),ERFC.PRECISE,en-us
ERROR.TYPE,Information,Returns a number corresponding to an error type,https://support.microsoft.com/en-us/office/error-type-function-10958677-7c8d-44f7-ae77-b9a9ee6eefaa,ERROR.TYPE(error_val),ERROR.TYPE,en-us
EUROCONVERT,Add-in and Automation,"Converts a number to euros, converts a number from euros to a euro member currency, or converts a number from one euro member currency to another by using the euro as an intermediary (triangulation).",https://support.microsoft.com/en-us/office/euroconvert-function-79c8fd67-c665-450c-bb6c-15fc92f8345c,"EUROCONVERT(number,source,target,full_precision,triangulation_precision)",EUROCONVERT,en-us
EVEN,Math and trigonometry,Rounds a number up to the nearest even integer,https://support.microsoft.com/en-us/office/even-function-197b5f06-c795-4c1e-8696-3c3b8a646cf9,EVEN(number),EVEN,en-us
EXACT,Text,Checks to see if two text values are identical,https://support.microsoft.com/en-us/office/exact-function-d3087698-fc15-4a15-9631-12575cf29926,"EXACT(text1, text2)",EXACT,en-us
EXP,Math and trigonometry,Returns e raised to the power of a given number,https://support.microsoft.com/en-us/office/exp-function-c578f034-2c45-4c37-bc8c-329660a63abe,EXP(number),EXP,en-us
EXPAND,Lookup and reference,Expands or pads an array to specified row and column dimensions,https://support.microsoft.com/en-us/office/expand-function-7433fba5-4ad1-41da-a904-d5d95808bc38,"=Expand(array, rows, [columns], [pad_with])",EXPAND,en-us
EXPON.DIST,Statistical,Returns the exponential distribution,https://support.microsoft.com/en-us/office/expon-dist-function-4c12ae24-e563-4155-bf3e-8b78b6ae140e,"EXPON.DIST(x,lambda,cumulative)",EXPON.DIST,en-us
EXPONDIST,Compatibility,Returns the exponential distribution,https://support.microsoft.com/en-us/office/expondist-function-68ab45fd-cd6d-4887-9770-9357eb8ee06a,"EXPONDIST(x,lambda,cumulative)",EXPONDIST,en-us
FACT,Math and trigonometry,Returns the factorial of a number,https://support.microsoft.com/en-us/office/fact-function-ca8588c2-15f2-41c0-8e8c-c11bd471a4f3,FACT(number),FACT,en-us
FACTDOUBLE,Math and trigonometry,Returns the double factorial of a number,https://support.microsoft.com/en-us/office/factdouble-function-e67697ac-d214-48eb-b7b7-cce2589ecac8,FACTDOUBLE(number),FACTDOUBLE,en-us
FALSE,Logical,Returns the logical value FALSE,https://support.microsoft.com/en-us/office/false-function-2d58dfa5-9c03-4259-bf8f-f0ae14346904,FALSE(),FALSE,en-us
F.DIST,Statistical,Returns the F probability distribution,https://support.microsoft.com/en-us/office/f-dist-function-a887efdc-7c8e-46cb-a74a-f884cd29b25d,"F.DIST(x,deg_freedom1,deg_freedom2,cumulative)",F.DIST,en-us
FDIST,Compatibility,Returns the F probability distribution,https://support.microsoft.com/en-us/office/fdist-function-ecf76fba-b3f1-4e7d-a57e-6a5b7460b786,"FDIST(x,deg_freedom1,deg_freedom2)",FDIST,en-us
F.DIST.RT,Statistical,Returns the F probability distribution,https://support.microsoft.com/en-us/office/f-dist-rt-function-d74cbb00-6017-4ac9-b7d7-6049badc0520,"F.DIST.RT(x,deg_freedom1,deg_freedom2)",F.DIST.RT,en-us
FILTER,Lookup and reference,Filters a range of data based on criteria you define,https://support.microsoft.com/en-us/office/filter-function-f4f7cb66-82eb-4767-8f7c-4877ad80c759,=FILTER(),FILTER,en-us
FILTERXML,Web,Returns specific data from the XML content by using the specified XPath,https://support.microsoft.com/en-us/office/filterxml-function-4df72efc-11ec-4951-86f5-c1374812f5b7,=FILTERXML(),FILTERXML,en-us
"FIND, FINDB S",Text,Finds one text value within another (case-sensitive),https://support.microsoft.com/en-us/office/find-findb-functions-c7912941-af2a-4bdf-a553-d0d89b0a0628,"FIND(find_text, within_text, [start_num])","FIND,",en-us
F.INV,Statistical,Returns the inverse of the F probability distribution,https://support.microsoft.com/en-us/office/f-inv-function-0dda0cf9-4ea0-42fd-8c3c-417a1ff30dbe,"F.INV(probability,deg_freedom1,deg_freedom2)",F.INV,en-us
F.INV.RT,Statistical,Returns the inverse of the F probability distribution,https://support.microsoft.com/en-us/office/f-inv-rt-function-d371aa8f-b0b1-40ef-9cc2-496f0693ac00,"F.INV.RT(probability,deg_freedom1,deg_freedom2)",F.INV.RT,en-us
FINV,Compatibility,Returns the inverse of the F probability distribution,https://support.microsoft.com/en-us/office/finv-function-4d46c97c-c368-4852-bc15-41e8e31140b1,"FINV(probability,deg_freedom1,deg_freedom2)",FINV,en-us
FISHER,Statistical,Returns the Fisher transformation,https://support.microsoft.com/en-us/office/fisher-function-d656523c-5076-4f95-b87b-7741bf236c69,FISHER(x),FISHER,en-us
FISHERINV,Statistical,Returns the inverse of the Fisher transformation,https://support.microsoft.com/en-us/office/fisherinv-function-62504b39-415a-4284-a285-19c8e82f86bb,FISHERINV(y),FISHERINV,en-us
FIXED,Text,Formats a number as text with a fixed number of decimals,https://support.microsoft.com/en-us/office/fixed-function-ffd5723c-324c-45e9-8b96-e41be2a8274a,"FIXED(number, [decimals], [no_commas])",FIXED,en-us
FLOOR,Compatibility,"Rounds a number down, toward zero",https://support.microsoft.com/en-us/office/floor-function-14bb497c-24f2-4e04-b327-b0b4de5a8886,"FLOOR(number, significance)",FLOOR,en-us
FLOOR.MATH,Math and trigonometry,"Rounds a number down, to the nearest integer or to the nearest multiple of significance",https://support.microsoft.com/en-us/office/floor-math-function-c302b599-fbdb-4177-ba19-2c2b1249a2f5,"FLOOR.MATH(number, significance, mode)",FLOOR.MATH,en-us
FLOOR.PRECISE,Math and trigonometry,"Rounds a number the nearest integer or to the nearest multiple of significance. Regardless of the sign of the number, the number is rounded up.",https://support.microsoft.com/en-us/office/floor-precise-function-f769b468-1452-4617-8dc3-02f842a0702e,"FLOOR.PRECISE(number, [significance])",FLOOR.PRECISE,en-us
FORECAST,Statistical,Returns a value along a linear trend,https://support.microsoft.com/en-us/office/forecast-and-forecast-linear-functions-50ca49c9-7b40-4892-94e4-7ad38bbeda99,"FORECAST.LINEAR(x, known_y's, known_x's)",FORECAST,en-us
FORECAST.ETS,Statistical,Returns a future value based on existing (historical) values by using the AAA version of the Exponential Smoothing (ETS) algorithm,https://support.microsoft.com/en-us/office/forecasting-functions-reference-897a2fe9-6595-4680-a0b0-93e0308d5f6e#_FORECAST.ETS,=Forecasting(),Forecasting,en-us
FORECAST.ETS.CONFINT,Statistical,Returns a confidence interval for the forecast value at the specified target date,https://support.microsoft.com/en-us/office/forecasting-functions-reference-897a2fe9-6595-4680-a0b0-93e0308d5f6e#_FORECAST.ETS.CONFINT,=Forecasting(),Forecasting,en-us
FORECAST.ETS.SEASONALITY,Statistical,Returns the length of the repetitive pattern Excel detects for the specified time series,https://support.microsoft.com/en-us/office/forecasting-functions-reference-897a2fe9-6595-4680-a0b0-93e0308d5f6e#_FORECAST.ETS.SEASONALITY,=Forecasting(),Forecasting,en-us
FORECAST.ETS.STAT,Statistical,Returns a statistical value as a result of time series forecasting,https://support.microsoft.com/en-us/office/forecasting-functions-reference-897a2fe9-6595-4680-a0b0-93e0308d5f6e#_FORECAST.ETS.STAT,=Forecasting(),Forecasting,en-us
FORECAST.LINEAR,Statistical,Returns a future value based on existing values,https://support.microsoft.com/en-us/office/forecasting-functions-reference-897a2fe9-6595-4680-a0b0-93e0308d5f6e#_FORECAST.LINEAR,=Forecasting(),Forecasting,en-us
FORMULATEXT,Lookup and reference,Returns the formula at the given reference as text,https://support.microsoft.com/en-us/office/formulatext-function-0a786771-54fd-4ae2-96ee-09cda35439c8,FORMULATEXT(reference),FORMULATEXT,en-us
FREQUENCY,Statistical,Returns a frequency distribution as a vertical array,https://support.microsoft.com/en-us/office/frequency-function-44e3be2b-eca0-42cd-a3f7-fd9ea898fdb9,=FREQUENCY(),FREQUENCY,en-us
F.TEST,Statistical,Returns the result of an F-test,https://support.microsoft.com/en-us/office/f-test-function-100a59e7-4108-46f8-8443-78ffacb6c0a7,"F.TEST(array1,array2)",F.TEST,en-us
FTEST,Compatibility,Returns the result of an F-test,https://support.microsoft.com/en-us/office/ftest-function-4c9e1202-53fe-428c-a737-976f6fc3f9fd,"FTEST(array1,array2)",FTEST,en-us
FV,Financial,Returns the future value of an investment,https://support.microsoft.com/en-us/office/fv-function-2eef9f44-a084-4c61-bdd8-4fe4bb1b71b3,"FV(rate,nper,pmt,[pv],[type])",FV,en-us
FVSCHEDULE,Financial,Returns the future value of an initial principal after applying a series of compound interest rates,https://support.microsoft.com/en-us/office/fvschedule-function-bec29522-bd87-4082-bab9-a241f3fb251d,"FVSCHEDULE(principal, schedule)",FVSCHEDULE,en-us
GAMMA,Statistical,Returns the Gamma function value,https://support.microsoft.com/en-us/office/gamma-function-ce1702b1-cf55-471d-8307-f83be0fc5297,GAMMA(number),GAMMA,en-us
GAMMA.DIST,Statistical,Returns the gamma distribution,https://support.microsoft.com/en-us/office/gamma-dist-function-9b6f1538-d11c-4d5f-8966-21f6a2201def,"GAMMA.DIST(x,alpha,beta,cumulative)",GAMMA.DIST,en-us
GAMMADIST,Compatibility,Returns the gamma distribution,https://support.microsoft.com/en-us/office/gammadist-function-7327c94d-0f05-4511-83df-1dd7ed23e19e,"GAMMADIST(x,alpha,beta,cumulative)",GAMMADIST,en-us
GAMMA.INV,Statistical,Returns the inverse of the gamma cumulative distribution,https://support.microsoft.com/en-us/office/gamma-inv-function-74991443-c2b0-4be5-aaab-1aa4d71fbb18,"GAMMA.INV(probability,alpha,beta)",GAMMA.INV,en-us
GAMMAINV,Compatibility,Returns the inverse of the gamma cumulative distribution,https://support.microsoft.com/en-us/office/gammainv-function-06393558-37ab-47d0-aa63-432f99e7916d,"GAMMAINV(probability,alpha,beta)",GAMMAINV,en-us
GAMMALN,Statistical,"Returns the natural logarithm of the gamma function, Γ(x)",https://support.microsoft.com/en-us/office/gammaln-function-b838c48b-c65f-484f-9e1d-141c55470eb9,GAMMALN(x),GAMMALN,en-us
GAMMALN.PRECISE,Statistical,"Returns the natural logarithm of the gamma function, Γ(x)",https://support.microsoft.com/en-us/office/gammaln-precise-function-5cdfe601-4e1e-4189-9d74-241ef1caa599,GAMMALN.PRECISE(x),GAMMALN.PRECISE,en-us
GAUSS,Statistical,Returns 0.5 less than the standard normal cumulative distribution,https://support.microsoft.com/en-us/office/gauss-function-069f1b4e-7dee-4d6a-a71f-4b69044a6b33,GAUSS(z),GAUSS,en-us
GCD,Math and trigonometry,Returns the greatest common divisor,https://support.microsoft.com/en-us/office/gcd-function-d5107a51-69e3-461f-8e4c-ddfc21b5073a,"GCD(number1, [number2], ...)",GCD,en-us
GEOMEAN,Statistical,Returns the geometric mean,https://support.microsoft.com/en-us/office/geomean-function-db1ac48d-25a5-40a0-ab83-0b38980e40d5,"GEOMEAN(number1, [number2], ...)",GEOMEAN,en-us
GESTEP,Engineering,Tests whether a number is greater than a threshold value,https://support.microsoft.com/en-us/office/gestep-function-f37e7d2a-41da-4129-be95-640883fca9df,"GESTEP(number, [step])",GESTEP,en-us
GETPIVOTDATA,Lookup and reference,Returns data stored in a PivotTable report,https://support.microsoft.com/en-us/office/getpivotdata-function-8c083b99-a922-4ca0-af5e-3af55960761f,=GETPIVOTDATA(),GETPIVOTDATA,en-us
GROWTH,Statistical,Returns values along an exponential trend,https://support.microsoft.com/en-us/office/growth-function-541a91dc-3d5e-437d-b156-21324e68b80d,"GROWTH(known_y's, [known_x's], [new_x's], [const])",GROWTH,en-us
HARMEAN,Statistical,Returns the harmonic mean,https://support.microsoft.com/en-us/office/harmean-function-5efd9184-fab5-42f9-b1d3-57883a1d3bc6,"HARMEAN(number1, [number2], ...)",HARMEAN,en-us
HEX2BIN,Engineering,Converts a hexadecimal number to binary,https://support.microsoft.com/en-us/office/hex2bin-function-a13aafaa-5737-4920-8424-643e581828c1,"HEX2BIN(number, [places])",HEX2BIN,en-us
HEX2DEC,Engineering,Converts a hexadecimal number to decimal,https://support.microsoft.com/en-us/office/hex2dec-function-8c8c3155-9f37-45a5-a3ee-ee5379ef106e,HEX2DEC(number),HEX2DEC,en-us
HEX2OCT,Engineering,Converts a hexadecimal number to octal,https://support.microsoft.com/en-us/office/hex2oct-function-54d52808-5d19-4bd0-8a63-1096a5d11912,"HEX2OCT(number, [places])",HEX2OCT,en-us
HLOOKUP,Lookup and reference,Looks in the top row of an array and returns the value of the indicated cell,https://support.microsoft.com/en-us/office/hlookup-function-a3034eec-b719-4ba3-bb65-e1ad662ed95f,"HLOOKUP(lookup_value, table_array, row_index_num, [range_lookup])",HLOOKUP,en-us
HOUR,Date and time,Converts a serial number to an hour,https://support.microsoft.com/en-us/office/hour-function-a3afa879-86cb-4339-b1b5-2dd2d7310ac7,HOUR(serial_number),HOUR,en-us
HSTACK,Lookup and reference,in sequence to return a larger array,https://support.microsoft.com/en-us/office/hstack-function-98c4ab76-10fe-4b4f-8d5f-af1c125fe8c2,"=HSTACK(array1,[array2],...)",HSTACK,en-us
HYPERLINK,Lookup and reference,"Creates a shortcut or jump that opens a document stored on a network server, an intranet, or the Internet",https://support.microsoft.com/en-us/office/hyperlink-function-333c7ce6-c5ae-4164-9c47-7de9b76f577f,"=HYPERLINK(""http://example.microsoft.com/report/budget report.xlsx"", ""Click for report"")",HYPERLINK,en-us
HYPGEOM.DIST,Statistical,Returns the hypergeometric distribution,https://support.microsoft.com/en-us/office/hypgeom-dist-function-6dbd547f-1d12-4b1f-8ae5-b0d9e3d22fbf,"HYPGEOM.DIST(sample_s,number_sample,population_s,number_pop,cumulative)",HYPGEOM.DIST,en-us
HYPGEOMDIST,Compatibility,Returns the hypergeometric distribution,https://support.microsoft.com/en-us/office/hypgeomdist-function-23e37961-2871-4195-9629-d0b2c108a12e,"HYPGEOMDIST(sample_s,number_sample,population_s,number_pop)",HYPGEOMDIST,en-us
IF,Logical,Specifies a logical test to perform,https://support.microsoft.com/en-us/office/if-function-69aed7c9-4e8a-4755-a9bc-aa8bbff73be2,"IF(logical_test, value_if_true, [value_if_false])",IF,en-us
IFERROR,Logical,"Returns a value you specify if a formula evaluates to an error; otherwise, returns the result of the formula",https://support.microsoft.com/en-us/office/iferror-function-c526fd07-caeb-47b8-8bb6-63f3e417f611,"=IFERROR(A2/B2, ""Error in calculation"")",IFERROR,en-us
IFNA,Logical,"Returns the value you specify if the expression resolves to #N/A, otherwise returns the result of the expression",https://support.microsoft.com/en-us/office/ifna-function-6626c961-a569-42fc-a49d-79b4951fd461,=IFNA(),IFNA,en-us
IFS,Logical,Checks whether one or more conditions are met and returns a value that corresponds to the first TRUE condition.,https://support.microsoft.com/en-us/office/ifs-function-36329a26-37b2-467c-972b-4a39bd951d45,"IFS(logical_test1, value_if_true1, [logical_test2, value_if_true2], [logical_test3, value_if_true3],…)",IFS,en-us
IMABS,Engineering,Returns the absolute value (modulus) of a complex number,https://support.microsoft.com/en-us/office/imabs-function-b31e73c6-d90c-4062-90bc-8eb351d765a1,IMABS(inumber),IMABS,en-us
IMAGE,Lookup and reference,Returns an image from a given source,https://support.microsoft.com/en-us/office/image-function-7e112975-5e52-4f2a-b9da-1d913d51f5d5,"=IMAGE(source, [alt_text], [sizing], [height], [width])",IMAGE,en-us
IMAGINARY,Engineering,Returns the imaginary coefficient of a complex number,https://support.microsoft.com/en-us/office/imaginary-function-dd5952fd-473d-44d9-95a1-9a17b23e428a,IMAGINARY(inumber),IMAGINARY,en-us
IMARGUMENT,Engineering,"Returns the argument theta, an angle expressed in radians",https://support.microsoft.com/en-us/office/imargument-function-eed37ec1-23b3-4f59-b9f3-d340358a034a,IMARGUMENT(inumber),IMARGUMENT,en-us
IMCONJUGATE,Engineering,Returns the complex conjugate of a complex number,https://support.microsoft.com/en-us/office/imconjugate-function-2e2fc1ea-f32b-4f9b-9de6-233853bafd42,IMCONJUGATE(inumber),IMCONJUGATE,en-us
IMCOS,Engineering,Returns the cosine of a complex number,https://support.microsoft.com/en-us/office/imcos-function-dad75277-f592-4a6b-ad6c-be93a808a53c,IMCOS(inumber),IMCOS,en-us
IMCOSH,Engineering,Returns the hyperbolic cosine of a complex number,https://support.microsoft.com/en-us/office/imcosh-function-053e4ddb-4122-458b-be9a-457c405e90ff,IMCOSH(inumber),IMCOSH,en-us
IMCOT,Engineering,Returns the cotangent of a complex number,https://support.microsoft.com/en-us/office/imcot-function-dc6a3607-d26a-4d06-8b41-8931da36442c,IMCOT(inumber),IMCOT,en-us
IMCSC,Engineering,Returns the cosecant of a complex number,https://support.microsoft.com/en-us/office/imcsc-function-9e158d8f-2ddf-46cd-9b1d-98e29904a323,IMCSC(inumber),IMCSC,en-us
IMCSCH,Engineering,Returns the hyperbolic cosecant of a complex number,https://support.microsoft.com/en-us/office/imcsch-function-c0ae4f54-5f09-4fef-8da0-dc33ea2c5ca9,IMCSCH(inumber),IMCSCH,en-us
IMDIV,Engineering,Returns the quotient of two complex numbers,https://support.microsoft.com/en-us/office/imdiv-function-a505aff7-af8a-4451-8142-77ec3d74d83f,"IMDIV(inumber1, inumber2)",IMDIV,en-us
IMEXP,Engineering,Returns the exponential of a complex number,https://support.microsoft.com/en-us/office/imexp-function-c6f8da1f-e024-4c0c-b802-a60e7147a95f,IMEXP(inumber),IMEXP,en-us
IMLN,Engineering,Returns the natural logarithm of a complex number,https://support.microsoft.com/en-us/office/imln-function-32b98bcf-8b81-437c-a636-6fb3aad509d8,IMLN(inumber),IMLN,en-us
IMLOG10,Engineering,Returns the base-10 logarithm of a complex number,https://support.microsoft.com/en-us/office/imlog10-function-58200fca-e2a2-4271-8a98-ccd4360213a5,IMLOG10(inumber),IMLOG10,en-us
IMLOG2,Engineering,Returns the base-2 logarithm of a complex number,https://support.microsoft.com/en-us/office/imlog2-function-152e13b4-bc79-486c-a243-e6a676878c51,IMLOG2(inumber),IMLOG2,en-us
IMPOWER,Engineering,Returns a complex number raised to an integer power,https://support.microsoft.com/en-us/office/impower-function-210fd2f5-f8ff-4c6a-9d60-30e34fbdef39,"IMPOWER(inumber, number)",IMPOWER,en-us
IMPRODUCT,Engineering,Returns the product of complex numbers,https://support.microsoft.com/en-us/office/improduct-function-2fb8651a-a4f2-444f-975e-8ba7aab3a5ba,"IMPRODUCT(inumber1, [inumber2], ...)",IMPRODUCT,en-us
IMREAL,Engineering,Returns the real coefficient of a complex number,https://support.microsoft.com/en-us/office/imreal-function-d12bc4c0-25d0-4bb3-a25f-ece1938bf366,IMREAL(inumber),IMREAL,en-us
IMSEC,Engineering,Returns the secant of a complex number,https://support.microsoft.com/en-us/office/imsec-function-6df11132-4411-4df4-a3dc-1f17372459e0,IMSEC(inumber),IMSEC,en-us
IMSECH,Engineering,Returns the hyperbolic secant of a complex number,https://support.microsoft.com/en-us/office/imsech-function-f250304f-788b-4505-954e-eb01fa50903b,IMSECH(inumber),IMSECH,en-us
IMSIN,Engineering,Returns the sine of a complex number,https://support.microsoft.com/en-us/office/imsin-function-1ab02a39-a721-48de-82ef-f52bf37859f6,IMSIN(inumber),IMSIN,en-us
IMSINH,Engineering,Returns the hyperbolic sine of a complex number,https://support.microsoft.com/en-us/office/imsinh-function-dfb9ec9e-8783-4985-8c42-b028e9e8da3d,IMSINH(inumber),IMSINH,en-us
IMSQRT,Engineering,Returns the square root of a complex number,https://support.microsoft.com/en-us/office/imsqrt-function-e1753f80-ba11-4664-a10e-e17368396b70,IMSQRT(inumber),IMSQRT,en-us
IMSUB,Engineering,Returns the difference between two complex numbers,https://support.microsoft.com/en-us/office/imsub-function-2e404b4d-4935-4e85-9f52-cb08b9a45054,"IMSUB(inumber1, inumber2)",IMSUB,en-us
IMSUM,Engineering,Returns the sum of complex numbers,https://support.microsoft.com/en-us/office/imsum-function-81542999-5f1c-4da6-9ffe-f1d7aaa9457f,"IMSUM(inumber1, [inumber2], ...)",IMSUM,en-us
IMTAN,Engineering,Returns the tangent of a complex number,https://support.microsoft.com/en-us/office/imtan-function-8478f45d-610a-43cf-8544-9fc0b553a132,IMTAN(inumber),IMTAN,en-us
INDEX,Lookup and reference,Uses an index to choose a value from a reference or array,https://support.microsoft.com/en-us/office/index-function-a5dcf0dd-996d-40a4-a822-b56b061328bd,"=INDEX(A2:B3,2,2)",INDEX,en-us
INDIRECT,Lookup and reference,Returns a reference indicated by a text value,https://support.microsoft.com/en-us/office/indirect-function-474b3a3a-8a26-4f44-b491-92b6306fa261,"INDIRECT(ref_text, [a1])",INDIRECT,en-us
INFO,Information,Returns information about the current operating environment,https://support.microsoft.com/en-us/office/info-function-725f259a-0e4b-49b3-8b52-58815c69acae,INFO(type_text),INFO,en-us
INT,Math and trigonometry,Rounds a number down to the nearest integer,https://support.microsoft.com/en-us/office/int-function-a6c4af9e-356d-4369-ab6a-cb1fd9d343ef,INT(number),INT,en-us
INTERCEPT,Statistical,Returns the intercept of the linear regression line,https://support.microsoft.com/en-us/office/intercept-function-2a9b74e2-9d47-4772-b663-3bca70bf63ef,"INTERCEPT(known_y's, known_x's)",INTERCEPT,en-us
INTRATE,Financial,Returns the interest rate for a fully invested security,https://support.microsoft.com/en-us/office/intrate-function-5cb34dde-a221-4cb6-b3eb-0b9e55e1316f,"INTRATE(settlement, maturity, investment, redemption, [basis])",INTRATE,en-us
