orden,anio,mes,dia,fecha,pais,ciudad,categoría,producto,precio,util_porcent,Cantidad,Total,utilidad
589,2023,2,9,2023-02-09,Paraguay,Encarnación,Tablets,Google Pixel Slate,799,0.3,2,1598,479.4
590,2023,2,6,2023-02-06,Ecuador,Cuenca,Tablets,Google Pixel Slate,799,0.3,2,1598,479.4
591,2023,2,24,2023-02-24,Perú,Arequipa,Laptops,MacBook Pro 14,2999,0.19,3,8997,1709.43
592,2023,2,20,2023-02-20,México,Monterrey,Smartphones,Oppo Find X3 Pro,1049,0.23,4,4196,965.08
593,2023,2,25,2023-02-25,Chile,Valparaíso,Tablets,Google Pixel Slate,799,0.3,3,2397,719.1
594,2023,2,15,2023-02-15,Ecuador,Guayaquil,Auriculares,Microsoft Surface Earbuds,224,0.14,2,448,62.720000000000006
595,2023,2,26,2023-02-26,Colombia,Bogotá,Auriculares,Bose QuietComfort 35 II,274,0.28,5,1370,383.6
596,2023,2,3,2023-02-03,Chile,Concepción,Laptops,HP Spectre x360,1799,0.25,3,5397,1349.25
597,2023,2,3,2023-02-03,Venezuela,Maracaibo,Tablets,ASUS ZenPad 3S 10,399,0.2,3,1197,239.4
598,2023,2,15,2023-02-15,Ecuador,Cuenca,Laptops,Acer Swift 5,899,0.32,1,899,287.68
599,2023,2,21,2023-02-21,Paraguay,Ciudad del Este,Laptops,Acer Swift 5,899,0.32,5,4495,1438.4
600,2023,2,24,2023-02-24,Perú,Arequipa,Auriculares,Apple AirPods Pro,224,0.26,4,896,232.96
601,2023,2,21,2023-02-21,Costa Rica,Heredia,Tablets,iPad Air,649,0.33,2,1298,428.34000000000003
602,2023,2,23,2023-02-23,Chile,Valparaíso,Tablets,LG G Pad 5 10.1,249,0.33,3,747,246.51000000000002
603,2023,2,17,2023-02-17,México,Ciudad de México (CDMX),Laptops,Acer Swift 5,899,0.32,5,4495,1438.4
604,2023,2,3,2023-02-03,México,Guadalajara,Smartphones,iPhone 13,1099,0.19,3,3297,626.4300000000001
605,2023,2,28,2023-02-28,Panamá,Colón,Smartphones,LG Velvet,649,0.12,4,2596,311.52
606,2023,2,12,2023-02-12,Costa Rica,San José,Laptops,MacBook Pro 14,2999,0.19,1,2999,569.8100000000001
607,2023,2,18,2023-02-18,Costa Rica,Limón,Auriculares,Microsoft Surface Earbuds,224,0.14,2,448,62.720000000000006
608,2023,2,23,2023-02-23,Ecuador,Guayaquil,Laptops,MSI GS66 Stealth,2249,0.2,3,6747,1349.4
609,2023,2,28,2023-02-28,Paraguay,Ciudad del Este,Auriculares,Sennheiser Momentum 3,324,0.32,4,1296,414.72
610,2023,2,4,2023-02-04,Paraguay,Encarnación,Smartphones,Asus ROG Phone 5,1099,0.13,4,4396,571.48
611,2023,2,11,2023-02-11,Ecuador,Guayaquil,Laptops,Acer Swift 5,899,0.32,3,2697,863.04
612,2023,2,12,2023-02-12,Colombia,Bogotá,Auriculares,Audio-Technica ATH-M50x,174,0.32,1,174,55.68
613,2023,2,4,2023-02-04,Perú,Lima,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,1,2049,225.39000000000001
614,2023,2,16,2023-02-16,Paraguay,Asunción,Auriculares,Razer Opus,224,0.11,2,448,49.28
615,2023,2,4,2023-02-04,Costa Rica,Limón,Auriculares,Audio-Technica ATH-M50x,174,0.32,3,522,167.04
616,2023,2,22,2023-02-22,México,Ciudad de México (CDMX),Auriculares,Razer Opus,224,0.11,5,1120,123.2
617,2023,2,19,2023-02-19,México,Guadalajara,Smartphones,Samsung Galaxy S21,899,0.28,1,899,251.72000000000003
618,2023,2,13,2023-02-13,Perú,Arequipa,Tablets,ASUS ZenPad 3S 10,399,0.2,3,1197,239.4
619,2023,2,28,2023-02-28,Chile,Concepción,Auriculares,Jabra Elite 85t,224,0.21,4,896,188.16
620,2023,2,8,2023-02-08,Perú,Trujillo,Tablets,Xiaomi Mi Pad 5,449,0.26,2,898,233.48000000000002
621,2023,2,7,2023-02-07,Brasil,Río de Janeiro,Auriculares,Samsung Galaxy Buds Pro,174,0.11,1,174,19.14
622,2023,2,24,2023-02-24,Perú,Arequipa,Tablets,iPad Air,649,0.33,2,1298,428.34000000000003
623,2023,2,3,2023-02-03,Panamá,Colón,Auriculares,Audio-Technica ATH-M50x,174,0.32,2,348,111.36
624,2023,2,4,2023-02-04,Bolivia,Cochabamba,Laptops,MSI GS66 Stealth,2249,0.2,2,4498,899.6
625,2023,2,7,2023-02-07,Paraguay,Ciudad del Este,Smartphones,Motorola Edge 20 Pro,849,0.2,2,1698,339.6
626,2023,2,12,2023-02-12,Panamá,Ciudad de Panamá,Auriculares,Audio-Technica ATH-M50x,174,0.32,2,348,111.36
627,2023,2,6,2023-02-06,México,Ciudad de México (CDMX),Auriculares,Jabra Elite 85t,224,0.21,1,224,47.04
628,2023,2,10,2023-02-10,México,Ciudad de México (CDMX),Auriculares,Audio-Technica ATH-M50x,174,0.32,4,696,222.72
629,2023,2,3,2023-02-03,Colombia,Cali,Tablets,Microsoft Surface Pro 7,999,0.35,4,3996,1398.6
630,2023,2,23,2023-02-23,Venezuela,Valencia,Laptops,Acer Swift 5,899,0.32,5,4495,1438.4
631,2023,2,11,2023-02-11,Bolivia,La Paz,Tablets,Google Pixel Slate,799,0.3,3,2397,719.1
632,2023,2,1,2023-02-01,Argentina,Buenos Aires,Tablets,Microsoft Surface Pro 7,999,0.35,5,4995,1748.25
633,2023,2,28,2023-02-28,Panamá,Colón,Tablets,Google Pixel Slate,799,0.3,1,799,239.7
634,2023,2,12,2023-02-12,Brasil,Brasilia,Laptops,MSI GS66 Stealth,2249,0.2,2,4498,899.6
635,2023,2,8,2023-02-08,Ecuador,Guayaquil,Laptops,Dell XPS 13,1399,0.35,3,4197,1468.9499999999998
636,2023,2,3,2023-02-03,Ecuador,Cuenca,Smartphones,Oppo Find X3 Pro,1049,0.23,3,3147,723.8100000000001
637,2023,2,17,2023-02-17,Brasil,São Paulo,Laptops,Gigabyte Aero 15 OLED,2599,0.11,1,2599,285.89
638,2023,2,25,2023-02-25,Colombia,Bogotá,Smartphones,Samsung Galaxy S21,899,0.28,4,3596,1006.8800000000001
639,2023,2,19,2023-02-19,Bolivia,La Paz,Laptops,Dell XPS 13,1399,0.35,5,6995,2448.25
640,2023,2,2,2023-02-02,Brasil,São Paulo,Laptops,Microsoft Surface Laptop 4,1649,0.27,3,4947,1335.69
641,2023,2,15,2023-02-15,Brasil,São Paulo,Auriculares,Microsoft Surface Earbuds,224,0.14,1,224,31.360000000000003
642,2023,2,12,2023-02-12,Panamá,Ciudad de Panamá,Auriculares,Microsoft Surface Earbuds,224,0.14,5,1120,156.8
643,2023,2,7,2023-02-07,Ecuador,Quito,Smartphones,Oppo Find X3 Pro,1049,0.23,3,3147,723.8100000000001
644,2023,2,5,2023-02-05,Panamá,Colón,Auriculares,Microsoft Surface Earbuds,224,0.14,2,448,62.720000000000006
645,2023,2,5,2023-02-05,Perú,Lima,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
646,2023,2,17,2023-02-17,Chile,Valparaíso,Smartphones,Oppo Find X3 Pro,1049,0.23,4,4196,965.08
647,2023,2,20,2023-02-20,Costa Rica,Heredia,Auriculares,Microsoft Surface Earbuds,224,0.14,5,1120,156.8
648,2023,2,9,2023-02-09,Venezuela,Maracaibo,Laptops,MSI GS66 Stealth,2249,0.2,4,8996,1799.2
649,2023,2,11,2023-02-11,Uruguay,Ciudad de la Costa,Smartphones,Xiaomi Mi 11,699,0.2,1,699,139.8
650,2023,2,6,2023-02-06,Panamá,Ciudad de Panamá,Tablets,Samsung Galaxy Tab S7,699,0.15,2,1398,209.7
651,2023,2,24,2023-02-24,Uruguay,Montevideo,Smartphones,Motorola Edge 20 Pro,849,0.2,4,3396,679.2
652,2023,2,28,2023-02-28,Colombia,Bogotá,Tablets,Huawei MatePad Pro,649,0.14,4,2596,363.44000000000005
653,2023,2,9,2023-02-09,Paraguay,Encarnación,Tablets,Amazon Fire HD 10,199,0.31,1,199,61.69
654,2023,2,22,2023-02-22,Costa Rica,Limón,Tablets,LG G Pad 5 10.1,249,0.33,3,747,246.51000000000002
655,2023,2,13,2023-02-13,México,Guadalajara,Smartphones,Google Pixel 6,749,0.28,1,749,209.72000000000003
656,2023,2,14,2023-02-14,Colombia,Medellín,Smartphones,Google Pixel 6,749,0.28,1,749,209.72000000000003
657,2023,2,25,2023-02-25,Panamá,David,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,4,8196,901.5600000000001
658,2023,2,12,2023-02-12,Ecuador,Quito,Tablets,Google Pixel Slate,799,0.3,2,1598,479.4
659,2023,2,15,2023-02-15,Bolivia,Santa Cruz de la Sierra,Smartphones,Samsung Galaxy S21,899,0.28,1,899,251.72000000000003
660,2023,2,6,2023-02-06,Bolivia,Cochabamba,Auriculares,Samsung Galaxy Buds Pro,174,0.11,5,870,95.7
661,2023,2,7,2023-02-07,Argentina,Buenos Aires,Smartphones,Asus ROG Phone 5,1099,0.13,4,4396,571.48
662,2023,2,25,2023-02-25,Costa Rica,Heredia,Laptops,Acer Swift 5,899,0.32,3,2697,863.04
663,2023,2,5,2023-02-05,Perú,Lima,Tablets,Google Pixel Slate,799,0.3,4,3196,958.8
664,2023,2,7,2023-02-07,Paraguay,Ciudad del Este,Auriculares,Apple AirPods Pro,224,0.26,3,672,174.72
665,2023,2,9,2023-02-09,Venezuela,Valencia,Auriculares,Samsung Galaxy Buds Pro,174,0.11,2,348,38.28
666,2023,2,7,2023-02-07,Perú,Arequipa,Tablets,Lenovo Tab P11 Pro,549,0.3,2,1098,329.4
667,2023,2,12,2023-02-12,Paraguay,Ciudad del Este,Auriculares,Razer Opus,224,0.11,5,1120,123.2
668,2023,2,10,2023-02-10,Bolivia,Cochabamba,Smartphones,Asus ROG Phone 5,1099,0.13,5,5495,714.35
669,2023,2,8,2023-02-08,Colombia,Bogotá,Laptops,Dell XPS 13,1399,0.35,2,2798,979.3
670,2023,2,27,2023-02-27,Perú,Trujillo,Tablets,iPad Air,649,0.33,1,649,214.17000000000002
671,2023,2,19,2023-02-19,Chile,Valparaíso,Auriculares,Razer Opus,224,0.11,3,672,73.92
672,2023,2,14,2023-02-14,Chile,Santiago,Auriculares,Apple AirPods Pro,224,0.26,1,224,58.24
673,2023,2,9,2023-02-09,Colombia,Cali,Smartphones,Google Pixel 6,749,0.28,1,749,209.72000000000003
674,2023,2,8,2023-02-08,Uruguay,Salto,Smartphones,Sony Xperia 1 III,1199,0.1,3,3597,359.70000000000005
675,2023,2,19,2023-02-19,Ecuador,Guayaquil,Tablets,Lenovo Tab P11 Pro,549,0.3,3,1647,494.09999999999997
676,2023,2,19,2023-02-19,Chile,Santiago,Smartphones,Asus ROG Phone 5,1099,0.13,1,1099,142.87
677,2023,2,9,2023-02-09,México,Monterrey,Smartphones,Google Pixel 6,749,0.28,3,2247,629.1600000000001
678,2023,2,7,2023-02-07,Paraguay,Asunción,Laptops,Acer Swift 5,899,0.32,4,3596,1150.72
679,2023,2,9,2023-02-09,Uruguay,Salto,Smartphones,OnePlus 9,799,0.32,3,2397,767.04
680,2023,2,28,2023-02-28,Costa Rica,San José,Tablets,Google Pixel Slate,799,0.3,3,2397,719.1
681,2023,2,6,2023-02-06,Bolivia,Santa Cruz de la Sierra,Tablets,Lenovo Tab P11 Pro,549,0.3,3,1647,494.09999999999997
682,2023,2,20,2023-02-20,Paraguay,Ciudad del Este,Smartphones,Google Pixel 6,749,0.28,3,2247,629.1600000000001
683,2023,2,21,2023-02-21,Perú,Arequipa,Smartphones,Oppo Find X3 Pro,1049,0.23,5,5245,1206.3500000000001
684,2023,2,20,2023-02-20,Venezuela,Caracas,Auriculares,Samsung Galaxy Buds Pro,174,0.11,5,870,95.7
685,2023,2,26,2023-02-26,Panamá,Colón,Laptops,Microsoft Surface Laptop 4,1649,0.27,1,1649,445.23
686,2023,2,18,2023-02-18,Colombia,Medellín,Auriculares,Bose QuietComfort 35 II,274,0.28,4,1096,306.88000000000005
687,2023,2,4,2023-02-04,Chile,Valparaíso,Tablets,Amazon Fire HD 10,199,0.31,4,796,246.76
688,2023,2,10,2023-02-10,Brasil,Brasilia,Tablets,Google Pixel Slate,799,0.3,1,799,239.7
689,2023,2,17,2023-02-17,Paraguay,Asunción,Laptops,Acer Swift 5,899,0.32,1,899,287.68
690,2023,2,28,2023-02-28,Venezuela,Caracas,Laptops,MSI GS66 Stealth,2249,0.2,2,4498,899.6
691,2023,2,2,2023-02-02,Colombia,Medellín,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,5,10245,1126.95
692,2023,2,22,2023-02-22,Venezuela,Maracaibo,Laptops,Dell XPS 13,1399,0.35,2,2798,979.3
693,2023,2,25,2023-02-25,Venezuela,Valencia,Smartphones,iPhone 13,1099,0.19,3,3297,626.4300000000001
694,2023,2,16,2023-02-16,Ecuador,Quito,Auriculares,Beats Studio3,274,0.13,2,548,71.24000000000001
695,2023,2,10,2023-02-10,Costa Rica,Limón,Laptops,ASUS ZenBook 14,1149,0.29,3,3447,999.6299999999999
696,2023,2,23,2023-02-23,Argentina,Buenos Aires,Tablets,Samsung Galaxy Tab S7,699,0.15,2,1398,209.7
697,2023,2,8,2023-02-08,Panamá,David,Smartphones,OnePlus 9,799,0.32,3,2397,767.04
698,2023,2,3,2023-02-03,Uruguay,Montevideo,Auriculares,Bose QuietComfort 35 II,274,0.28,4,1096,306.88000000000005
699,2023,2,27,2023-02-27,Chile,Valparaíso,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
700,2023,2,25,2023-02-25,Venezuela,Maracaibo,Auriculares,Sennheiser Momentum 3,324,0.32,5,1620,518.4
701,2023,2,27,2023-02-27,Bolivia,Santa Cruz de la Sierra,Smartphones,OnePlus 9,799,0.32,2,1598,511.36
702,2023,2,1,2023-02-01,Venezuela,Caracas,Laptops,Gigabyte Aero 15 OLED,2599,0.11,3,7797,857.67
703,2023,2,11,2023-02-11,Venezuela,Caracas,Smartphones,Huawei P40 Pro,899,0.34,3,2697,916.98
704,2023,2,8,2023-02-08,Perú,Arequipa,Laptops,MSI GS66 Stealth,2249,0.2,4,8996,1799.2
705,2023,2,19,2023-02-19,Panamá,David,Auriculares,Sennheiser Momentum 3,324,0.32,5,1620,518.4
706,2023,2,28,2023-02-28,Brasil,Brasilia,Tablets,LG G Pad 5 10.1,249,0.33,2,498,164.34
707,2023,2,3,2023-02-03,Uruguay,Montevideo,Tablets,Huawei MatePad Pro,649,0.14,5,3245,454.30000000000007
708,2023,2,23,2023-02-23,Uruguay,Ciudad de la Costa,Smartphones,Google Pixel 6,749,0.28,4,2996,838.8800000000001
709,2023,2,25,2023-02-25,Chile,Santiago,Laptops,Razer Blade 15,2649,0.33,5,13245,4370.85
710,2023,2,10,2023-02-10,Panamá,Colón,Laptops,Microsoft Surface Laptop 4,1649,0.27,3,4947,1335.69
711,2023,2,22,2023-02-22,Venezuela,Maracaibo,Auriculares,Beats Studio3,274,0.13,5,1370,178.1
712,2023,2,11,2023-02-11,Panamá,David,Smartphones,Xiaomi Mi 11,699,0.2,1,699,139.8
713,2023,2,8,2023-02-08,Chile,Santiago,Smartphones,Xiaomi Mi 11,699,0.2,4,2796,559.2
714,2023,2,16,2023-02-16,Venezuela,Maracaibo,Smartphones,Samsung Galaxy S21,899,0.28,5,4495,1258.6000000000001
715,2023,2,23,2023-02-23,Chile,Valparaíso,Tablets,Google Pixel Slate,799,0.3,5,3995,1198.5
716,2023,2,28,2023-02-28,Brasil,Río de Janeiro,Smartphones,LG Velvet,649,0.12,2,1298,155.76
717,2023,2,8,2023-02-08,Uruguay,Montevideo,Tablets,LG G Pad 5 10.1,249,0.33,4,996,328.68
718,2023,2,13,2023-02-13,Costa Rica,San José,Smartphones,OnePlus 9,799,0.32,4,3196,1022.72
719,2023,2,4,2023-02-04,Costa Rica,Limón,Auriculares,Sony WH-1000XM4,324,0.27,5,1620,437.40000000000003
720,2023,2,11,2023-02-11,Perú,Lima,Auriculares,Jabra Elite 85t,224,0.21,1,224,47.04
721,2023,2,27,2023-02-27,Panamá,David,Laptops,Dell XPS 13,1399,0.35,2,2798,979.3
722,2023,2,15,2023-02-15,Paraguay,Asunción,Tablets,Xiaomi Mi Pad 5,449,0.26,1,449,116.74000000000001
723,2023,2,4,2023-02-04,Brasil,Río de Janeiro,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,1,2049,225.39000000000001
724,2023,2,14,2023-02-14,Ecuador,Guayaquil,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
725,2023,2,1,2023-02-01,Colombia,Cali,Tablets,Lenovo Tab P11 Pro,549,0.3,2,1098,329.4
726,2023,2,9,2023-02-09,Colombia,Medellín,Smartphones,Motorola Edge 20 Pro,849,0.2,2,1698,339.6
727,2023,2,17,2023-02-17,Costa Rica,Heredia,Laptops,MSI GS66 Stealth,2249,0.2,2,4498,899.6
728,2023,2,14,2023-02-14,Panamá,David,Auriculares,Microsoft Surface Earbuds,224,0.14,1,224,31.360000000000003
729,2023,2,3,2023-02-03,Ecuador,Cuenca,Smartphones,Sony Xperia 1 III,1199,0.1,3,3597,359.70000000000005
730,2023,2,27,2023-02-27,Ecuador,Quito,Smartphones,OnePlus 9,799,0.32,3,2397,767.04
731,2023,2,28,2023-02-28,Bolivia,Santa Cruz de la Sierra,Laptops,ASUS ZenBook 14,1149,0.29,3,3447,999.6299999999999
732,2023,2,15,2023-02-15,Venezuela,Valencia,Tablets,LG G Pad 5 10.1,249,0.33,1,249,82.17
733,2023,2,18,2023-02-18,Brasil,São Paulo,Laptops,MacBook Pro 14,2999,0.19,5,14995,2849.05
734,2023,2,19,2023-02-19,Ecuador,Cuenca,Tablets,Microsoft Surface Pro 7,999,0.35,4,3996,1398.6
735,2023,2,17,2023-02-17,Perú,Arequipa,Smartphones,OnePlus 9,799,0.32,1,799,255.68
736,2023,2,7,2023-02-07,Paraguay,Asunción,Laptops,HP Spectre x360,1799,0.25,2,3598,899.5
737,2023,2,14,2023-02-14,Perú,Arequipa,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
738,2023,2,28,2023-02-28,Paraguay,Ciudad del Este,Auriculares,Sony WH-1000XM4,324,0.27,4,1296,349.92
739,2023,2,27,2023-02-27,Bolivia,Cochabamba,Laptops,Razer Blade 15,2649,0.33,1,2649,874.1700000000001
740,2023,2,28,2023-02-28,México,Monterrey,Laptops,Dell XPS 13,1399,0.35,2,2798,979.3
741,2023,2,28,2023-02-28,Bolivia,La Paz,Laptops,Dell XPS 13,1399,0.35,1,1399,489.65
742,2023,2,26,2023-02-26,Costa Rica,Heredia,Smartphones,Asus ROG Phone 5,1099,0.13,3,3297,428.61
743,2023,2,17,2023-02-17,Ecuador,Quito,Laptops,MacBook Pro 14,2999,0.19,3,8997,1709.43
744,2023,2,24,2023-02-24,México,Guadalajara,Auriculares,Apple AirPods Pro,224,0.26,3,672,174.72
745,2023,2,1,2023-02-01,Argentina,Buenos Aires,Smartphones,Asus ROG Phone 5,1099,0.13,4,4396,571.48
746,2023,2,28,2023-02-28,Paraguay,Encarnación,Smartphones,OnePlus 9,799,0.32,3,2397,767.04
747,2023,2,12,2023-02-12,Perú,Trujillo,Tablets,Google Pixel Slate,799,0.3,4,3196,958.8
748,2023,2,14,2023-02-14,Colombia,Medellín,Auriculares,Bose QuietComfort 35 II,274,0.28,1,274,76.72000000000001
749,2023,2,2,2023-02-02,Paraguay,Ciudad del Este,Laptops,Razer Blade 15,2649,0.33,5,13245,4370.85
750,2023,2,8,2023-02-08,Colombia,Medellín,Auriculares,Sony WH-1000XM4,324,0.27,3,972,262.44
751,2023,2,25,2023-02-25,Perú,Lima,Auriculares,Bose QuietComfort 35 II,274,0.28,1,274,76.72000000000001
752,2023,2,13,2023-02-13,Brasil,Brasilia,Auriculares,Microsoft Surface Earbuds,224,0.14,3,672,94.08000000000001
753,2023,2,5,2023-02-05,Perú,Trujillo,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
754,2023,2,27,2023-02-27,Bolivia,Santa Cruz de la Sierra,Tablets,Huawei MatePad Pro,649,0.14,1,649,90.86000000000001
755,2023,2,26,2023-02-26,Perú,Arequipa,Laptops,MSI GS66 Stealth,2249,0.2,2,4498,899.6
756,2023,2,20,2023-02-20,Paraguay,Asunción,Tablets,Lenovo Tab P11 Pro,549,0.3,4,2196,658.8
757,2023,2,5,2023-02-05,Perú,Lima,Laptops,ASUS ZenBook 14,1149,0.29,5,5745,1666.05
758,2023,2,6,2023-02-06,Brasil,São Paulo,Tablets,Huawei MatePad Pro,649,0.14,2,1298,181.72000000000003
759,2023,2,4,2023-02-04,Ecuador,Quito,Auriculares,Apple AirPods Pro,224,0.26,1,224,58.24
760,2023,2,7,2023-02-07,Chile,Santiago,Tablets,Xiaomi Mi Pad 5,449,0.26,2,898,233.48000000000002
761,2023,2,1,2023-02-01,Ecuador,Cuenca,Smartphones,Samsung Galaxy S21,899,0.28,1,899,251.72000000000003
762,2023,2,5,2023-02-05,Colombia,Bogotá,Tablets,Huawei MatePad Pro,649,0.14,1,649,90.86000000000001
763,2023,2,1,2023-02-01,Venezuela,Caracas,Auriculares,Sony WH-1000XM4,324,0.27,5,1620,437.40000000000003
764,2023,2,28,2023-02-28,Brasil,São Paulo,Smartphones,Google Pixel 6,749,0.28,1,749,209.72000000000003
765,2023,2,23,2023-02-23,Panamá,Colón,Auriculares,Razer Opus,224,0.11,2,448,49.28
766,2023,2,6,2023-02-06,Brasil,Brasilia,Smartphones,Motorola Edge 20 Pro,849,0.2,3,2547,509.40000000000003
767,2023,2,15,2023-02-15,Bolivia,La Paz,Tablets,Huawei MatePad Pro,649,0.14,1,649,90.86000000000001
768,2023,2,17,2023-02-17,Panamá,David,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
769,2023,2,7,2023-02-07,Argentina,Buenos Aires,Smartphones,Motorola Edge 20 Pro,849,0.2,5,4245,849.0
770,2023,2,26,2023-02-26,Uruguay,Montevideo,Smartphones,LG Velvet,649,0.12,4,2596,311.52
771,2023,2,9,2023-02-09,Costa Rica,San José,Smartphones,Motorola Edge 20 Pro,849,0.2,3,2547,509.40000000000003
772,2023,2,20,2023-02-20,Paraguay,Asunción,Smartphones,Xiaomi Mi 11,699,0.2,4,2796,559.2
773,2023,2,6,2023-02-06,Costa Rica,San José,Tablets,Amazon Fire HD 10,199,0.31,5,995,308.45
774,2023,2,19,2023-02-19,Panamá,David,Smartphones,Asus ROG Phone 5,1099,0.13,3,3297,428.61
775,2023,2,8,2023-02-08,Argentina,Buenos Aires,Laptops,ASUS ZenBook 14,1149,0.29,1,1149,333.21
776,2023,2,25,2023-02-25,Venezuela,Valencia,Auriculares,Sennheiser Momentum 3,324,0.32,5,1620,518.4
777,2023,2,9,2023-02-09,Venezuela,Caracas,Auriculares,Microsoft Surface Earbuds,224,0.14,5,1120,156.8
778,2023,2,7,2023-02-07,Bolivia,La Paz,Laptops,Acer Swift 5,899,0.32,1,899,287.68
779,2023,2,21,2023-02-21,Bolivia,Santa Cruz de la Sierra,Tablets,ASUS ZenPad 3S 10,399,0.2,2,798,159.60000000000002
780,2023,2,13,2023-02-13,Paraguay,Asunción,Laptops,Microsoft Surface Laptop 4,1649,0.27,1,1649,445.23
781,2023,2,7,2023-02-07,Perú,Trujillo,Laptops,Acer Swift 5,899,0.32,4,3596,1150.72
782,2023,2,13,2023-02-13,Panamá,Colón,Smartphones,Oppo Find X3 Pro,1049,0.23,3,3147,723.8100000000001
783,2023,2,27,2023-02-27,Colombia,Bogotá,Smartphones,Motorola Edge 20 Pro,849,0.2,5,4245,849.0
784,2023,2,6,2023-02-06,Perú,Lima,Tablets,Samsung Galaxy Tab S7,699,0.15,5,3495,524.25
785,2023,2,4,2023-02-04,Bolivia,Cochabamba,Tablets,Huawei MatePad Pro,649,0.14,2,1298,181.72000000000003
786,2023,2,9,2023-02-09,Perú,Trujillo,Laptops,ASUS ZenBook 14,1149,0.29,3,3447,999.6299999999999
787,2023,2,6,2023-02-06,Bolivia,La Paz,Tablets,Samsung Galaxy Tab S7,699,0.15,5,3495,524.25
788,2023,2,7,2023-02-07,Uruguay,Montevideo,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
789,2023,2,12,2023-02-12,Colombia,Medellín,Laptops,HP Spectre x360,1799,0.25,2,3598,899.5
790,2023,2,5,2023-02-05,Chile,Valparaíso,Smartphones,Motorola Edge 20 Pro,849,0.2,3,2547,509.40000000000003
791,2023,2,13,2023-02-13,Costa Rica,Heredia,Auriculares,Microsoft Surface Earbuds,224,0.14,5,1120,156.8
792,2023,2,13,2023-02-13,México,Monterrey,Smartphones,LG Velvet,649,0.12,4,2596,311.52
793,2023,2,7,2023-02-07,Colombia,Bogotá,Auriculares,Microsoft Surface Earbuds,224,0.14,1,224,31.360000000000003
794,2023,2,5,2023-02-05,Venezuela,Maracaibo,Tablets,Google Pixel Slate,799,0.3,2,1598,479.4
795,2023,2,13,2023-02-13,Colombia,Medellín,Auriculares,Razer Opus,224,0.11,5,1120,123.2
796,2023,2,8,2023-02-08,Bolivia,Santa Cruz de la Sierra,Tablets,Xiaomi Mi Pad 5,449,0.26,5,2245,583.7
797,2023,2,1,2023-02-01,Brasil,São Paulo,Auriculares,Apple AirPods Pro,224,0.26,3,672,174.72
798,2023,2,25,2023-02-25,Ecuador,Cuenca,Laptops,Gigabyte Aero 15 OLED,2599,0.11,1,2599,285.89
799,2023,2,23,2023-02-23,Bolivia,Santa Cruz de la Sierra,Tablets,LG G Pad 5 10.1,249,0.33,4,996,328.68
800,2023,2,26,2023-02-26,Paraguay,Asunción,Laptops,Microsoft Surface Laptop 4,1649,0.27,1,1649,445.23
801,2023,2,22,2023-02-22,Venezuela,Caracas,Auriculares,Microsoft Surface Earbuds,224,0.14,1,224,31.360000000000003
802,2023,2,27,2023-02-27,Colombia,Medellín,Tablets,Amazon Fire HD 10,199,0.31,4,796,246.76
803,2023,2,18,2023-02-18,Uruguay,Salto,Tablets,Samsung Galaxy Tab S7,699,0.15,1,699,104.85
804,2023,2,3,2023-02-03,Perú,Lima,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,1,2049,225.39000000000001
805,2023,2,14,2023-02-14,Chile,Santiago,Auriculares,Jabra Elite 85t,224,0.21,2,448,94.08
806,2023,2,17,2023-02-17,Brasil,São Paulo,Laptops,ASUS ZenBook 14,1149,0.29,4,4596,1332.84
807,2023,2,14,2023-02-14,Argentina,Buenos Aires,Auriculares,Audio-Technica ATH-M50x,174,0.32,5,870,278.40000000000003
808,2023,2,18,2023-02-18,Perú,Lima,Smartphones,LG Velvet,649,0.12,2,1298,155.76
809,2023,2,1,2023-02-01,Costa Rica,Limón,Auriculares,Jabra Elite 85t,224,0.21,5,1120,235.2
810,2023,2,26,2023-02-26,Paraguay,Asunción,Tablets,Samsung Galaxy Tab S7,699,0.15,3,2097,314.55
811,2023,2,4,2023-02-04,Brasil,São Paulo,Smartphones,LG Velvet,649,0.12,4,2596,311.52
812,2023,2,18,2023-02-18,Paraguay,Ciudad del Este,Auriculares,Bose QuietComfort 35 II,274,0.28,3,822,230.16000000000003
813,2023,2,14,2023-02-14,Uruguay,Salto,Smartphones,Motorola Edge 20 Pro,849,0.2,1,849,169.8
814,2023,2,8,2023-02-08,Perú,Lima,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,4,8196,901.5600000000001
815,2023,2,27,2023-02-27,Colombia,Bogotá,Auriculares,Bose QuietComfort 35 II,274,0.28,3,822,230.16000000000003
816,2023,2,20,2023-02-20,Panamá,Colón,Tablets,Samsung Galaxy Tab S7,699,0.15,5,3495,524.25
